Name,High School Attended,Hometown,POS,Rating
Joey Ehrmann,Gilman School,"Baltimore, MD",OLB,73
John Calhoun,Sebastian River High School,"Sebastian River, FL",FB,73
John Levorson,Crete High School,"Crete, NE",ATH,73
Johnny Wilson,Kent-Meridian High School,"Kent, WA",OLB,73
Jomarcus Savage,J. O. Johnson High School,"Huntsville, AL",DE,73
Joseph Kassanavoid,Lawson R-XIV High School,"Lawson, MO",QB,73
Josh Ayers,Trinity High School,"Euless, TX",OT,73
Josh Gehres,Lincoln High School,"Tallahassee, FL",WR,73
Josh Vick,Kiski Area Public High School,"Vandergrift, PA",QB,73
Juarelle Narcisse,Saint James High School,"Saint James, LA",OLB,73
Junior Mertile,North Miami High School,"North Miami, FL",WR,73
Justin Gilbert,Monacan High School,"Richmond, VA",OG,73
Kamar Frost,Jones Senior High School,"Trenton, NC",DE,73
Kenny Davis,Adair Public School,"Adair, OK",QB,73
Kermit Tyler,L. W. Higgins High School,"Marrero, LA",OG,73
Kevin Prince,Crespi Carmelite High School,"Encino, CA",QB,73
Kirkland Gainous,Lincoln High School,"Tallahassee, FL",DE,73
Kortlin White,Rockdale High School,"Rockdale, TX",RB,73
Ladarrius Verge,Riverdale High School,"Murfreesboro, TN",DT,73
Lance Dunbar,Haltom High School,"Fort Worth, TX",RB,73
Lee Butler,Westside High School,"Anderson, SC",S,73
Leonard Paulk,Richland Northeast High School,"Columbia, SC",S,73
Logan Dold,Garden Plain High School,"Garden Plain, KS",ATH,73
Logan Harrell,Santa Margarita Catholic High School,"Rancho Santa Margarita, CA",DT,73
Louis Watson,Saint Paul's Episcopal School,"Mobile, AL",CB,73
Marc Damisch,Buffalo Grove High School,"Buffalo Grove, IL",OT,73
Marcus Rucker,Whitehaven High School,"Memphis, TN",WR,73
Mark Ginther,Jenks High School,"Jenks, OK",QB,73
Marquez Henderson,Vanden High School,"Vacaville, CA",WR,73
Matt Britain,North Cobb High School,"Kennesaw, GA",OG,73
Mauricio Wallace,Blackman High School,"Murfreesboro, TN",ATH,73
Max Holloway,Thomas Jefferson High School,"Tampa, FL",DE,73
Mickey Brewer,Butler High School,"Matthews, NC",WR,73
Mike Smith,Westside High School,"Houston, TX",WR,73
Nick Adamle,Wheaton North High School,"Wheaton, IL",OG,73
Nick Lepak,Auburn High School,"Auburn, NY",OT,73
Nick Olthaus,Elder High School,"Cincinnati, OH",WR,73
Norman Shuford,Harrison High School,"Farmington Hills, MI",RB,73
Patrick Lambert,Osceola High School,"Kissimmee, FL",S,73
Patrick Mahnke,Mountain Vista High School,"Highlands Ranch, CO",S,73
Quamane Bryant,Brashear High School,"Pittsburgh, PA",CB,73
Quentin Greenlaw,Rio Mesa High School,"Oxnard, CA",OLB,73
Quin Sanford,South Panola High School,"Batesville, MS",OG,73
Ralston Dews,North Shore High School,"Galena Park, TX",OC,73
Randolph Granderson,Matoaca High School,"Chesterfield, VA",DE,73
Randy White,Virginia High School,"Bristol, VA",TE,73
Rayon Simmons,Christian Brothers College High School,"Saint Louis, MO",RB,73
Rich Bell,Salisbury School,"Canton, MA",OC,73
Rick Wagner,Nathan Hale High School,"West Allis, WI",TE,73
Rickey Booker,Timberview High School,"Mansfield, TX",S,73
Robert Pritchard,North Gwinnett High School,"Suwanee, GA",DE,73
Ronnell Grixby,Omaha Central High School,"Omaha, NE",RB,73
Rotell Jenkins,Huguenot High School,"Richmond, VA",ATH,73
Ryan Grant,Eden Prairie High,"Eden Prairie, MN",ATH,73
Ryan Lacy,Oakmont High School,"Antelope, CA",ATH,73
Ryan Lewis,Catholic High School,"Baton Rouge, LA",QB,73
Sal Battles,The Rayen School,"Youngstown, OH",RB,73
Sean Hooey,Hillsdale High School,"Hillsdale, MI",OT,73
Sean Patterson,,"Toledo, OH",QB(POST),73
Sean Stackhouse,Mandarin High School,"Jacksonville, FL",TE,73
Seth Doege,Frenship High School,"Wolfforth, TX",QB,73
Shelly Lyons,Centennial High School,"Corona, CA",ILB,73
T.J. Walker,William Blount High School,"Maryville, TN",DE,73
Taylor Edwards,Campbell Hall High School,"North Hollywood, CA",DE,73
Tony Gregory,First Colonial High School,"Virginia Beach, VA",RB,73
Tyler Jackson,Douglas County High School,"Castle Rock, CO",S,73
Tyler Thompson,Dawson County High School,"Dawsonville, GA",FB,73
Tyrone McBride,Winslow Township High School,"Atco, NJ",S,73
Uaita Emosi,Norwalk High School,"Norwalk, CA",OG,73
Vince Harris,Harmony Community School,"Cincinnati, OH",S(POST),73
Wayne Tribue,Central York High School,"York, PA",OG,73
Wayne Warren,Wicomico High School,"Salisbury, MD",ATH,73
Willie Taylor,Hillcrest High School,"Dallas, TX",ATH,73
Zack Stoudt,Dublin Coffman High School,"Dublin, OH",QB,73
Adam Coleman,Bettendorf High School,"Bettendorf, IA",DT,74
Andrew Smith,Monarch High School,"Coconut Creek, FL",DE,74
Antwuan Reed,Greater Johnstown High School,"Johnstown, PA",CB,74
Armani Taylor,Oceanside High School,"Oceanside, CA",RB,74
B.J. Daniels,Lincoln High School,"Tallahassee, FL",QB,74
Ben Barber,Thomas A. Edison High School,"Alexandria, VA",ATH,74
Bernard Edwards,W. W. Samuel High School,"Dallas, TX",DE,74
Blaec Walker,Middletown High School,"Middletown, OH",OT,74
Brandon Davis,Robert E. Lee Senior High School,"Jacksonville, FL",OG,74
Brandon Phillips,Redlands Senior High School,"Redlands, CA",OLB,74
Brendan Kelly,Academy Of Holy Angels,"Richfield, MN",DE,74
Bruce Horner,Groves High School,"Birmingham, MI",ATH,74
Bruce Wilbourn,North Panola High School,"Sardis, MS",WR,74
Brynn Harvey,Largo High School,"Largo, FL",RB,74
Carson York,Lake City High School,"Coeur D'Alene, ID",OT(LQ),74
Chad Miller,Foothill High School,"Santa Ana, CA",ATH,74
Chance Blackmon,Tatum High School,"Tatum, TX",WR,74
Chandler Burden,La Salle High School,"Cincinnati, OH",OG,74
Charles  Robinson,Middletown High School,"Middletown, OH",OG,74
Charles Bailey,Bartram Trail High School,"Jacksonville, FL",WR,74
Christopher Bynes,Boyd Anderson High School,"Lauderdale Lakes, FL",WR,74
Cody Blue,Wilde Lake High School,"Columbia, MD",OT,74
Colin Shumate,Las Vegas High School,"Las Vegas, NV",ILB,74
Cooper Bassett,Tuttle Public High School,"Tuttle, OK",TE,74
Cordy Glenn,Riverdale High School,"Riverdale, GA",OT,74
Corey Lewis,East Stroudsburg High School South,"Cresco, PA",OT,74
Cory Brown,Grand Prairie High,"Grand Prairie, TX",DE,74
D.L. Wilhite,Bryan Station High School,"Lexington, KY",ATH,74
Dan Green,Walther Lutheran High School,"Melrose Park, IL",RB,74
Daniel Nicholas,Canyon Del Oro High School,"Tucson, AZ",QB,74
Darius Kinney,,"Newark, NJ",RB(POST),74
Darrius McQueen,North Florida Christian High School,"Tallahassee, FL",WR,74
David Grant,Killeen High School,"Killeen, TX",OT,74
David King,Strake Jesuit College Prep,"Houston, TX",DE,74
David Levonte,Miami Northwestern High School,"Miami, FL",OLB,74
Dayne Read,North Florida Christian High School,"Tallahassee, FL",S,74
Delano Howell,William S. Hart High School,"Newhall, CA",ATH,74
Demetrius Thomas,Theodore High School,"Theodore, AL",RB,74
Derricus Ellis,Darlington School,"Rome, GA",DE,74
Dontari Poe,Wooddale High School,"Memphis, TN",DT,74
Drew Schaefer,Eastlake High School,"Sammamish, WA",OT,74
Elias Kos,Holland Christian High School,"Holland, MI",WR,74
Greg Brown,Cedar Hill High School,"Cedar Hill, TX",CB,74
H.R. Greer,Southern Baptist Ed Center,"Southaven, MS",FB,74
Horatio Williams,Oxford High School,"Oxford, MS",WR,74
Houston Tuminello,Gilmer High School,"Gilmer, TX",WR,74
Isaac Johnson,Everett High School,"Everett, MA",RB,74
Isiah Wiley,West Monroe High School,"West Monroe, LA",CB,74
J.T. Levenseller,Pullman High School,"Pullman, WA",QB(LQ),74
Jackie Hinton,Channelview High School,"Channelview, TX",S,74
Jake Jackson,Carroll High School,"Southlake, TX",OG,74
Jamal Wilson,Oscar Frommel Smith High School,"Chesapeake, VA",WR,74
James O'Quinn,Kiski Area Public High School,"Vandergrift, PA",WR,74
James Searcy,Northgate High School,"Newnan, GA",DE,74
James Terry,Brandywine High School,"Wilmington, DE",DT,74
Jamie Simpson,Dowagiac Union High School,"Dowagiac, MI",FB,74
Jarrett Sparks,Merced High School,"Merced, CA",ATH,74
Jaybo Shaw,Flowery Branch High School,"Flowery Branch, GA",QB,74
Jeff Braun,Winters Mills High School,"Westminster, MD",DT,74
Jeff Hawkins,Vanguard High School,"Ocala, FL",TE,74
Jeremy Longo,Cardinal Gibbons High School,"Fort Lauderdale, FL",DE,74
Jermaine Kearse,Lakes High School,"Lakewood, WA",WR,74
Jhyryn Taylor,Franklinton High School,"Franklinton, LA",WR,74
Jimmy Saros,South High School,"Grosse Pointe, MI",WR,74
Joe Caprioglio,Highlands Ranch High School,"Highlands Ranch, CO",OT,74
Joe Marshall,Clearwater High School,"Clearwater, FL",DT,74
John Cole,Somerset High School,"Somerset, KY",WR,74
John Williams,Booker T. Washington High School,"Tulsa, OK",OG,74
Jon Richt,Prince Avenue Christian School,"Athens, GA",QB,74
Jordan Bell,Akron Buchtel High School,"Akron, OH",WR,74
Jordan Brewer,Carmel High School,"Carmel, IN",TE,74
Jordan Todman,Dartmouth High School,"Dartmouth, MA",RB,74
Joseph Clayton,Hermitage High School,"Richmond, VA",S,74
Josh Chestang,Moss Point High School,"Moss Point, MS",OLB,74
Josh Jordan,Bishop Gorman High School,"Las Vegas, NV",CB,74
Justin Blackmon,Plainview High School,"Ardmore, OK",WR,74
Justin Venable,Southeast Guilford High School,"Greensboro, NC",S,74
Kebin Umodu,South Hills High School,"Covina, CA",DT,74
Kenny Barrett,Mart High School,"Mart, TX",WR,74
Kenny Howard,The Hun School Of Princeton,"Princeton, NJ",RB,74
Kevin Claxton,Boyd Anderson High School,"Fort Lauderdale, FL",S,74
Kevin Frank,Elk Grove High School,"Elk Grove, CA",ATH,74
Kevin Saia,Dutchtown High School,"Geismar, LA",OG,74
L.J. Gamblin,Lincoln High School,"Des Moines, IA",ILB,74
Lawrence Williams,Independence High School,"Independence, NC",DT,74
Logan Pegram,Silver Lake High School,"Silver Lake, KS",OG,74
Lucas Gregor,Salpointe Catholic High School,"Tucson, AZ",DE,74
Malcolm Martin,McClintock High School,"Tempe, AZ",WR,74
Marquelo Suel,Paul Harding High School,"Fort Wayne, IN",WR,74
Marselius Williams,Grant High School,"Sacramento, CA",RB,74
Marvon Sanders,Ypsilanti High School,"Ypsilanti, MI",WR,74
Matt Furstenburg,The Hun School Of Princeton,"Flemington, NJ",TE(POST),74
Matt Lipski,Ashland High School,"Ashland, OR",OT,74
Michael Price,Great Bridge High School,"Chesapeake, VA",OT,74
Micheal Bryant,LaVergne High School,"LaVergne, TN",OT,74
Mike Hunt,Franklin High School,"Meadville, MS",S,74
Mike Stone,Holliston High School,"Holliston, MA",TE,74
Mike Triglia,The Bolles School,"Jacksonville, FL",TE,74
Myles White,Stevenson High School,"Livonia, MI",WR,74
Nate DeJong,Central Lyon High School,"Rock Rapids, IA",S,74
Nate Palmer,Simeon Career Academy,"Chicago, IL",OLB,74
Nelson Hurst,Plainfield High School,"Plainfield, IN",TE,74
Nick Bass,,"Warner Robins, GA",WR,74
Nick Bell,Jess Lanier High School,"Bessemer, AL",DE,74
Nick Kemper,Winter Park High School,"Lake Howell, FL",OC,74
Padric Scott,Lincoln High School,"Tallahassee, FL",DT,74
Pat Wertz,Victor J. Andrew High School,"Tinley Park, IL",DE,74
Peter Rose,Amherst County High School,"Amherst, VA",ATH,74
Peters Drey,McGill-Toolen Catholic High School,"Mobile, AL",OG,74
Phillip Manley,Hamilton High School,"Hamilton, OH",OG,74
Quinn Evans,Basha High School,"Chandler, AZ",CB,74
Randall Cobb,Alcoa High School,"Alcoa, TN",ATH,74
Rashad Evans,James Logan High School,"Union City, CA",ATH,74
Richard Cagle,St. Pius X High School,"Houston, TX",OG,74
Ryan Radcliff,Fairview High School,"Sherwood, OH",QB,74
Ryan Wallace,Bowling Green High School,"Bowling Green, KY",TE,74
Sam Robey,Trinity High School,"Louisville, KY",OC,74
Sean Tesoro,Baldwin High School,"Wailuku, HI",OG,74
Sean Westgate,Oak Park High School,"Oak Park, CA",S,74
Sergio Joyner,Armwood High School,"Seffner, FL",OLB,74
Stephen Meadows,James Monroe High School,"Fredericksburg, VA",ILB,74
Steve Yoak,Archbishop Hoban High School,"Akron, OH",FB,74
Steven Christian,John F. Kennedy High School,"Sacramento, CA",ATH,74
Stone Pinckney,Hammond School,"Columbia, SC",OLB,74
Teddy Dargan,Milford Mill Academy,"Baltimore, MD",DT,74
Terrance Williams,W. T. White High School,"Dallas, TX",WR,74
Thomas Shuler,Dr. Phillips High School,"Orlando, FL",FB,74
Tim Curry,Elysian Fields High School,"Elysian Fields, TX",QB,74
Tim Molton,Destrehan High School,"Destrehan, LA",WR,74
Tim Rommel,Henninger High School,"Syracuse, NY",QB,74
Timothy Wright,Wall High School,"Wall, NJ",S,74
Travis Kelce,Cleveland Heights High School,"Cleveland Heights, OH",QB,74
Tristan Strong,Grayson High School,"Loganville, GA",OLB,74
Troy Franklin,Celina High School,"Celina, TX",DT,74
Tyler Adetona,Gainesville High School,"Gainesville, GA",WR,74
Tyler Hoover,Novi High School,"Novi, MI",DE,74
Tyler Urban,Norwin Senior High School,"North Huntingdon, PA",OLB,74
Undra Billingsley,Woodlawn High School,"Birmingham, AL",DE,74
William Johnson,Pearl-Cohn High School,"Nashville, TN",OLB,74
Willie Bohannon,M. T. Blount High School,"Prichard, AL",DE,74
Willie Packer,Moss Point High School,"Moss Point, MS",DE,74
Zac Dysert,Ada High School,"Ada, OH",QB,74
Zach Davison,Waukee High School,"Waukee, IA",DE,74
A.J. Blue,North Gaston High School,"Dallas, NC",QB,75
Abraham Cavaco-Amoy,Saint Louis School,"Honolulu, HI",DE,75
Al Owens,Springtown High School,"Springtown, TX",S,75
Albert Williams,West Brook Senior High School,"Beaumont, TX",RB,75
Alec Johnson,J. K. Mullen High School,"Denver, CO",OC,75
Alex Hunt,Buford High School,"Duluth, GA",RB,75
Andrei Lintz,Meridian High School,"Bellingham, WA",TE,75
Anthony Garner,Jordan-Matthews High School,"Siler City, NC",DT,75
Antonio Bell,Mainland High School,"Daytona Beach, FL",WR,75
Antonio Hoskins,Water Valley High School,"Water Valley, MS",OLB,75
Austin Eoff,Northside High School,"Fort Smith, AR",OG,75
Bakari Bussey,Lakota West High School,"West Chester, OH",WR,75
Bernard Smith,Benjamin E. Mays High School,"Atlanta, GA",OLB,75
Brad Madison,South Harrison High School,"Bethany, MO",OG,75
Brandon Marti,Gulliver Prep School,"Miami, FL",OLB,75
Brandon Rutley,Alhambra High School,"Martinez, CA",RB(LQ),75
Brandon Smith,New Brunswick High,"New Brunswick, NJ",ATH,75
Brandon Smith,Lillie B. Williamson High School,"Mobile, AL",QB,75
Brian Moore,Ransom Everglades School,"Coconut Grove, FL",OG,75
Brian Mulroe,Loyola Academy,"Wilmette, IL",OT,75
C.J. Odom,Fort Myers High School,"Fort Myers, FL",S,75
C.J. Wilson,Lincolnton High School,"Lincolnton, NC",ATH,75
Cameron Meredith,Mater Dei High School,"Santa Ana, CA",DE,75
Chandler Koch,Flower Mound High School,"Flower Mound, TX",TE,75
Chris Johnson,Tallwood High School,"Virginia Beach, VA",DE,75
Chris Mass,Chapel Hill High School,"Tyler, TX",ATH,75
Chucky Jones,Irving High School,"Irving, TX",RB,75
Colby Jackson,Trinity Christian School,"Dublin, GA",FB,75
Colin Lyons-Pena,West Campus High School,"Sacramento, CA",OG,75
Collin Klein,Loveland High School,"Loveland, CO",QB,75
Colt Nichter,Park City High School,"Park City, UT",DT,75
Colter Phillips,Georgetown Prep School,"Bethesda, MD",TE,75
Corbin Brown,Spring Valley High School,"Las Vegas, NV",S,75
Corey Broomfield,Bayside High School,"Palm Bay, FL",CB,75
Corey Smith,Musselman High School,"Bunker Hill, WV",K,75
D.J. Marshall,Mesquite High School,"Mesquite, TX",DE,75
D.L. Moore,Bowling Green High School,"Bowling Green, KY",WR,75
Daniel Stone,Vigor High School,"Mobile, AL",WR,75
David Freeman,Inglewood High School,"Inglewood, CA",RB,75
DaWaylon Cook,Samuel Clemens High School,"Dallas, TX",ATH,75
Delmon Robinson,Vicksburg High School,"Vicksburg, MS",ATH,75
Demetrius Bronson,Kentwood High School,"Kent, WA",RB,75
Derrick Herman,Cleveland High School,"Cleveland, MS",CB,75
Devin Taylor,Beaufort High School,"Beaufort, SC",DE,75
Don Brown,West Monroe High School,"West Monroe, LA",FB,75
Donte Elliot,Alief Taylor High School,"Houston, TX",S,75
Ebele Okakpu,Roswell High School,"Roswell, GA",OLB,75
Elton Ford,Chattahoochee High School,"Lithonia, GA",OLB,75
Emmett Cleary,Saint Viator High School,"Arlington Heights, IL",OT,75
Eric Ball,Katy High School,"Katy, TX",OC,75
Gary Mason,Waxahachie High School,"Waxahachie, TX",OLB,75
George Winn,Univ. of Detroit Jesuit High School,"Detroit, MI",RB,75
Gerald Rivers,Cedar Grove High School,"Ellenwood, GA",DE,75
Greg Scruggs,Saint Xavier High School,"Cincinnati, OH",DE,75
Ike Iloegbu,Harmony Community School,"Cincinnati, OH",ATH(POST),75
Ingram Bell,St. James High School,"Murrells Inlet, SC",ATH,75
Ja'Baris Little,Lincoln High School,"Tallahassee, FL",TE,75
Jack Elway,Cherry Creek High School,"Englewood, CO",QB,75
Jack Swanson,Naples High School,"Naples, FL",S,75
Jacques Caldwell,Garland High School,"Garland, TX",RB,75
Jacquies Smith,South Oak Cliff High,"Dallas, TX",DE,75
Jacquizz Rodgers,Lamar Consolidated High School,"Rosenberg, TX",RB,75
Jamie Payton,Dutchtown High School,"Geismar, LA",OLB,75
Jarrett Burns,Lee High School,"Huntsville, AL",S,75
Jarvis Whitty,Saint Augustine High School,"Saint Augustine, FL",DE,75
Jason Albertini,Butler Senior High School,"Vandalia, OH",QB,75
Jayson Cuba,Newton High School,"Newton, KS",WR(LQ),75
Jim Youngblood,Camden-Fairview High School,"Camden, AR",QB,75
Joe Schafer,Cretin-Derham Hall High School,"Saint Paul, MN",OT,75
Joseph Wylie,Boyd Anderson High School,"Lauderdale Lakes, FL",S,75
Josh Garvin,Lake Gibson High School,"Lakeland, FL",OT,75
Justin Lewis,Johnsonville High School,"Johnsonville, SC",OG,75
Justin Rogers,Vestavia Hills High School,"Vestavia Hills, AL",RB,75
Justin Smith,Chattahoochee High School,"Alpharetta, GA",DT,75
Kevin Norrell,Long Beach Polytechnic High School,"Long Beach, CA",WR,75
Kyle Frazier,Damascus High School,"Damascus, MD",QB,75
Luke Kelly,Turpin High School,"Cincinnati, OH",OLB,75
Manny Williams,Clairton High School,"Clairton, PA",S,75
Marcus Cooper,Bloomfield High School,"Bloomfield, CT",WR,75
Marcus Davis,Ocean Lakes High School,"Virginia Beach, VA",ATH,75
Marcus Sales,Christian Brothers Academy,"Dewitt, NY",WR,75
Marcus Thurmond,North Augusta High School,"North Augusta, SC",WR,75
Matt Carroll,Unionville High School,"Kennett Square, PA",OLB,75
Matt Dortch,Wayne Valley High School,"Wayne, NJ",RB,75
Micah Kreikemeier,Central Catholic High School,"West Point, NE",OLB,75
Michael Thomas,Nimitz High School,"Houston, TX",ATH,75
Michael Yeck,Keller High School,"Keller, TX",OT,75
Mike Farrell,Shady Side Academy,"Pittsburgh, PA",OT,75
Montori Hughes,Siegel High School,"Murfreesboro, TN",DT,75
Morgan Carter,C. D. Hylton High School,"Woodbridge, VA",ATH,75
Mychal Kendricks,Hoover High School,"Fresno, CA",OLB,75
Mychal Rivera,Birmingham High School,"Van Nuys, CA",TE,75
Nate Stanley,Sequoyah High School,"Tahlequah, OK",QB,75
Nick Sliger,Hamilton Southeastern High School,"Fishers, IN",DT,75
P.J. Smith,John Curtis Christian High School,"River Ridge, LA",S,75
Patrick Neumann,Saint Joseph Regional High School,"Montvale, NJ",OT,75
Peter Konz,Neenah High School,"Neenah, WI",OT,75
Philip Pierre-Louis,Saint Thomas Aquinas High School,"Fort Lauderdale, FL",ATH,75
Quincy Quetant,Timber Creek High School,"Orlando, FL",S,75
R.J. Dill,Trinity High School,"Camp Hill, PA",OT,75
Randez James,,"San Antonio, TX",CB(POST),75
Rhonne Sanderson,Plant Senior High School,"Tampa, FL",OT,75
Ryan Haliburton,Frenship High School,"Wolfforth, TX",DE,75
Ryan Seymour,Camden County High School,"Kingsland, GA",DE,75
Ryan Turnley,Hopewell High School,"Aliquippa, PA",OT,75
Scott Grady,Tigard Senior High School,"Tigard, OR",ATH,75
Shawntel Rowell,Glenville High School,"Cleveland, OH",OG,75
Skylar Stormo,Kamiak High School,"Mukilteo, WA",TE,75
Stephon Mercer,Melbourne High School,"Melbourne, FL",RB,75
Supo Sanni,Homewood-Flossmoor High School,"Homewood, IL",WR,75
Taylor Loftley,Chamblee High School,"Chamblee, GA",DT,75
Taylor Thompson,Prosper High School,"Prosper, TX",TE,75
Terence Thomas,Caldwell High School,"Caldwell, ID",OT,75
Terrance Dailey,Vacaville High School,"Vacaville, CA",FB,75
Thomas Douglas,Walnut Ridge High School,"Columbus, OH",RB,75
Tramaine Thomas,East Chambers High School,"Winnie, TX",S,75
Tre Newton,Carroll High School,"Southlake, TX",RB,75
Trenton Robinson,Bay City Central High School,"Bay City, MI",CB,75
Vance King,Stockbridge High School,"Stockbridge, GA",ATH,75
Vincent Hill,Milford Academy,"Fort Washington, MD",WR(POST),75
Zach Rasmussen,Belton High School,"Belton, MO",QB,75
Zach Stadther,North Little Rock High School,"North Little Rock, AR",DT,75
A.J. Grant,Sandalwood High School,"Jacksonville, FL",OLB,76
A.J. Jones,McKinney High School,"McKinney, TX",RB,76
Aaron Buckley,Palacios High School,"Palacios, TX",ILB,76
Aaron King,Carmel High School,"Carmel, IN",RB,76
Alameda Ta'amu,Rainier Beach High School,"Seattle, WA",OG,76
Alex Williams,Saint Pauls School,"Covington, LA",QB,76
Andre Smith,Shoemaker High School,"Killeen, TX",ATH,76
Antonio Allen,Fork Union Military Academy,"Ocala, FL",S(POST),76
Austin Johnson,Hickory High School,"Hickory, NC",ILB,76
Austin Quattrochi,Walton High School,"Marietta, GA",OC,76
Ben Bartholomew,Montgomery Bell Academy,"Nashville, TN",FB,76
Benji Kemoeatu,Kahuku High School,"Kahuku, HI",OC,76
Bradley Nortman,Brookfield Central High School,"Brookfield, WI",K,76
Brady Amack,De La Salle High School,"Concord, CA",ILB,76
Brandon Leslie,Edison High School,"Fresno, CA",S,76
Brendan Kelly,Shoreham-Wading River High School,"Shoreham, NY",FB,76
Brent Burnette,Maryville High School,"Maryville, TN",QB,76
Brian Williams,Carteret High School,"Carteret, NJ",WR,76
Bryan Murray,Good Counsel High School,"Wheaton, MD",DT,76
Brynden Trawick,Sprayberry High School,"Marietta, GA",S,76
Chris Hayden-Martin,Greensburg Central Catholic H. S.,"Greensburg, PA",CB,76
Chris Martin,Choctawhatchee High School,"Fort Walton Beach, FL",DT,76
Clay Spencer,Parkview Baptist High School,"Baton Rouge, LA",OC,76
Clint Floyd,Crenshaw High School,"Los Angeles, CA",CB,76
Clyde Lee,Hightower High School,"Fort Bend, TX",WR,76
Cody Bruns,Prosser High School,"Prosser, WA",WR,76
Cory Myers,Cactus High School,"Glendale, AZ",WR,76
Curtis Cunningham,Columbine Senior High School,"Littleton, CO",DT,76
Darriet Perry,Lowndes High School,"Valdosta, GA",RB,76
Davin Palmer,Chelsea High School,"Chelsea, AL",RB,76
Depauldrick Garrett,West Orange-Stark High School,"Orange, TX",RB,76
Derek Tuimauga,Bingham High School,"South Jordan, UT",OG,76
Derrick Bryant,Peachtree Ridge High School,"Suwanee, GA",CB,76
Derrick Lykes,Chilton County High School,"Clanton, AL",DE,76
Devin Thomas,James Madison High School,"San Antonio, TX",RB,76
Donnie Fletcher,Glenville High School,"Cleveland, OH",CB,76
Donovan Carter,Birmingham High School,"Lake Balboa, CA",ILB,76
Doug Rippy,Linden McKinley High School,"Columbus, OH",OLB,76
Dyrell Roberts,Smithfield High School,"Smithfield, VA",ATH,76
Ed Imeokparia,Blair Academy,"Newark, DE",RB(POST),76
Eddie Brown,Waller High School,"Waller, TX",DT,76
Enrique Davis,Hargrave Military Academy,"Lynn Haven, FL",RB(POST),76
Evan Epstein,Bishop Lynch High School,"Dallas, TX",OC,76
Gabe Irby,Habersham Central High School,"Mount Airy, GA",OG,76
Garrett Faircloth,The Bolles School,"Jacksonville, FL",OT,76
Gary Douglas Jr.,Hillside High School,"Durham, NC",RB,76
Gerald Hill,Curtis Senior High School,"Tacoma, WA",ATH,76
Glenn Foster,Mount Carmel High School,"Chicago, IL",DE,76
Glenn Winston,Denby Technical & Prep High School,"Detroit, MI",ATH,76
Jamere Knox,,"Salisbury, MD",RB(POST),76
Javonta Boyd,Northeast High School,"Saint Petersburg, FL",DT,76
Jeff Radek,Neuqua Valley High School,"Naperville, IL",OT,76
Jeffery Allen,King Collage Prep. High School,"Chicago, IL",OG,76
Jermaine Johnson,Hargrave Military Academy,"Fort Lauderdale, FL",OT(POST),76
Jermaine Robinson,Brashear High School,"Pittsburgh, PA",S,76
Jerome Tiller,Robert E. Lee High School,"San Antonio, TX",QB,76
Jessie Johnson,Monroe High School,"Monroe, MI",RB,76
Jimmy Miller,J. K. Mullen High School,"Denver, CO",OG,76
Johnathan Franklin,Dorsey High School,"Los Angeles, CA",RB,76
Josh Jordan,Saint Amant High School,"Saint Amant, LA",QB,76
Juan McHenry,Carter High School,"Dallas, TX",RB,76
Justin Glenn,Kamiak High School,"Mukilteo, WA",CB,76
Justin Pagan,Saint Patrick High School,"Chicago, IL",OG,76
Justin Staples,Saint Edward High School,"Lakewood, OH",OLB,76
Justin Virbitsky,Lakeland High School,"Jermyn, PA",TE,76
Kamaron Riley,Hawkinsville High School,"Hawkinsville, GA",S,76
Kellen Theriot,Episcopal High School,"Bellaire, TX",ILB,76
Ken Plue,Milford Academy,"Rensselaer, NY",OT(POST),76
Kendric Cook,Etowah High School,"Etowah, AL",TE,76
Kenny Davis,Newberry High School,"Newberry, SC",DT,76
Kevin Galeher,Saint Rita High School,"Chicago, IL",OT,76
Kevin Green,James S. Rickards High School,"Tallahassee, FL",CB,76
Khiry Battle,Dacula High School,"Dacula, GA",ATH,76
Kwamaine Brown,Osceola High School,"Seminole, FL",RB,76
Lanear Sampson,North Mesquite High School,"Mesquite, TX",WR,76
Leonard Johnson,Largo High School,"Largo, FL",ATH,76
Lovell Jackson,Plant Senior High School,"Tampa, FL",RB,76
Lynell Payne,Cherokee High School,"Marlton, NJ",WR,76
Marc Anthony,Chandler High School,"Chandler, AZ",CB,76
Marcus Cromartie,Timberview High School,"Mansfield, TX",CB,76
Marvin Booker,Piscataway High School,"Piscataway, NJ",OLB,76
Matt McGloin,West Scranton High School,"Scranton, PA",QB,76
Matt Sanders,Crestview High School,"Crestview, FL",OG,76
Mike Goodman,Christopher Columbus High School,"Miami, FL",OT,76
Mike Shanahan,Norwin Senior High School,"North Huntingdon, PA",ATH,76
Mike Washington,Foley High School,"Foley, AL",WR,76
Nick Clancy,Joliet Catholic Academy,"Joliet, IL",OLB,76
Nolan Kearney,Downingtown West High School,"Downingtown, PA",QB,76
Patrick Larimore,William S. Hart High School,"Newhall, CA",ILB,76
Peter St. Fort,Golden Gate High School,"Naples, FL",S,76
Prentiss Waggner,Clinton High School,"Clinton, LA",CB,76
Quintus Johnson,Homewood-Flossmoor High School,"Crete, IL",RB,76
Randy Salmon,Stockbridge High School,"Stockbridge, GA",DT,76
Rashard Hall,Saint Augustine High School,"Saint Augustine, FL",S,76
Raveon Samuel,Canyon Springs High School,"Las Vegas, NV",WR,76
