Name,High School Attended,Hometown,Position,Rating
Chris Merrill,Saguaro High School,"Scottsdale, AZ",DT,78
Matt Scott,Centennial High School,"Corona, CA",QB,78
Lavunce Askew,Camden-Fairview High School,"Camden, AR",DE,78
Tyler Rigsbee,Pleasant Valley High School,"Chico, CA",OT,78
Covaughn Deboskie,Hamilton High School,"Chandler, AZ",RB,78
Dominic Galas,Central Catholic High School,"Modesto, CA",OC,78
Milton Knox,Birmingham High School,"Van Nuys, CA",RB,78
Damien Holmes,Colton High School,"Colton, CA",DE,78
Antwon Moutra,Culver City High School,"Culver City, CA",WR,78
Steven Robinson,Lincoln High School,"Tallahassee, FL",OG,78
Bryce Givens,J. K. Mullen High School,"Denver, CO",OT,78
Ryan Deehan,Poway High School,"Poway, CA",TE,78
Jimmy Bennett,West Potomac High School,"Alexandria, VA",OT,78
Earl Okine,Gainesville High School,"Gainesville, FL",DE,78
Blair Walsh,Cardinal Gibbons High School,"Fort Lauderdale, FL",K,78
Makiri Pugh,Independence High School,"Charlotte, NC",CB,78
Nick Williams,Bainbridge High School,"Bainbridge, GA",ATH,78
Tavon Wilson,Woodrow Wilson High School,"Washington, DC",CB,78
Cordale Scott,Glenville High School,"Cleveland, OH",WR,78
Whitney Mercilus,Garfield Senior High School,"Akron, OH",DE,78
David Cato,Summit High School,"Mansfield, TX",S,78
Sean Ransburg,Harrisonville High School,"Harrisonville, MO",ATH,78
Daymond Patterson,North Mesquite High School,"Garland, TX",WR,78
Donte Rumph,Calhoun County High School,"Saint Matthews, SC",DE,78
Casey Narcisse,Saint James High School,"Vacherie, LA",DT,78
Darius Ashley,Saint Xavier High School,"Cincinnati, OH",RB,78
Mario Benavides,Los Fresnos High School,"Los Fresnos, TX",OT,78
Cameron Chism,Bishop McNamara High School,"Forestville, MD",CB,78
Kevin Dorsey,Forestville High School,"Forestville, MD",WR,78
Demetrius Hartsfield,Southeast Raleigh High School,"Raleigh, NC",ILB,78
Zach Kerr,Quince Orchard High School,"Gaithersburg, MD",DT,78
Devonte Campbell,Hargrave Military Academy,"Rustburg, MD",TE(POST),78
Micanor Regis,Pahokee High School,"Belle Glade, FL",DT,78
Gavin Hardin,Jackson Central-Merry High School,"Jackson, TN",OLB,78
Kurt Wermers,Crown Point High School,"Crown Point, IN",OG,78
Boubacar Cissoko,Cass Technical High School,"Detroit, MI",CB,78
Martavious Odoms,Pahokee High School,"Pahokee, FL",WR,78
Kenny Demens,Detroit Country Day School,"Beverly Hills, MI",ATH,78
Michael Shaw,Madison High School,"Trotwood, OH",RB,78
Troy Stoudermire,Skyline High School,"Dallas, TX",ATH,78
Jewhan Edwards,Roman Catholic High School,"Philadelphia, PA",DT,78
Sam Maresh,Champlin Park High School,"Champlin, MN",ILB,78
Kevin Whaley,Salem High School,"Virginia Beach, VA",RB,78
Darius Barksdale,South Panola High School,"Batesville, MS",RB,78
Will Compton,North County High School,"Bonne Terre, MO",ILB,78
Brandon Thompson,The Woodlands High School,"The Woodlands, TX",OT,78
Lester Ward Jr.,Brenham High School,"Brenham, TX",ATH,78
Kody Spano,Stephenville High School,"Stephenville, TX",QB,78
Kyler Reed,Saint Thomas Aquinas High School,"Overland Park, KS",FB,78
David Whitmore,Memorial High School,"Port Arthur, TX",CB,78
Michael McAdoo,Antioch High School,"Antioch, TN",DE,78
Jamal Womble,Buena High School,"Sierra Vista, AZ",RB,78
Kevin Reddick,New Bern High School,"New Bern, NC",ILB,78
Jonathan Cooper,John T. Hoggard High School,"Wilmington, NC",OG,78
Quinton Coples,Hargrave Military Academy,"Kinston, NC",DE,78
Todd Harrelson,Oscar Frommel Smith High School,"Chesapeake, VA",WR,78
Royce Hill,Cypress Ridge High School,"Houston, TX",CB,78
Tress Way,Tulsa Union High School,"Tulsa, OK",K,78
Britt Mitchell,Roscoe High School,"Roscoe, TX",OT,78
Hamani Stevens,Hemet High School,"Hemet, CA",OG,78
Dion Jordan,Chandler High School,"Chandler, AZ",TE,78
Cameron Saddler,Gateway High School,"Monroeville, PA",ATH,78
Mike Cruz,Bishop McCort High School,"Johnstown, PA",TE,78
Chaz Sutton,Jenkins High School,"Savannah, GA",DE,78
Reggie Bowens,Garner Senior High School,"Garner, NC",OLB,78
John Lejiste,Atlantic Community High School,"Delray Beach, FL",S,78
Wes Horton,Notre Dame High School,"Sherman Oaks, CA",DE,78
Malik Jackson,Birmingham High School,"Van Nuys, CA",DE,78
Casey Kelly,Sarasota High School,"Sarasota, FL",QB,78
Donald Monroe,Angleton High School,"Angleton, TX",CB,78
Kheeston Randall,Monsignor Kelly Catholic High School,"Beaumont, TX",DT,78
Kenny Veal,Hamilton High School,"Hamilton, OH",CB,78
Clint Anderson,Allen High School,"Allen, TX",OG,78
Luke Matthews,Desert Vista High School,"Phoenix, AZ",ATH,78
Sausan Shakerin,Alta High School,"Sandy, UT",RB,78
Torrey Mack,Stratford High School,"Stratford, CT",RB,78
Ausar Walcott,Hackensack High School,"Hackensack, NJ",S,78
Chris Polk,Redlands East Valley High School,"Redlands, CA",WR,78
Bradly Roussel,Redemptorist High School,"Baton Rouge, LA",ILB,78
Devin Smith,Coppell High School,"Coppell, TX",CB,78
DeAndre Jones,Memphis University School,"Memphis, TN",OLB,78
Micah Powell,East Lake High School,"Tarpon Springs, FL",ATH,78
D.J. Coles,Goochland High School,"Goochland, VA",WR,78
Xavier Boyce,Landstown High School,"Virginia Beach, VA",ATH,78
Michael Via,Northeast Guilford High,"McLeansville, NC",OT,78
Bruce Taylor,Myrtle Beach High School,"Myrtle Beach, SC",ILB,78
Austin Fuller,Richlands High School,"Richlands, VA",WR,78
Andrew Parker,Bartram Trail High School,"Jacksonville, FL",TE,78
Riley Haynes,Nease High School,"Ponte Vedra Beach, FL",ILB,78
Jerome Swinton,Seabreeze Senior High School,"Daytona Beach, FL",CB,78
Donovan Miles,Brooke Point High School,"Stafford, VA",ILB,78
Jamarcus Allen,Boone High School,"Orlando, FL",DT,78
Bobby Massie,Liberty Christian Academy,"Lynchburg, VA",OT,78
Carson Knowlton,West Memphis High School,"West Memphis, AR",DE,78
Eric Livsey,Gateway High School,"Pittsburgh, PA",RB,78
Tony Morgan,Garner Senior High School,"Garner, NC",S,78
B.J. Brand,Coffee High School,"Douglas, GA",OG,78
Mario Crawford,Romulus High School,"Detroit, MI",RB,78
Taneareus Collins,Centerville High School,"Centerville, OH",RB,78
Dominique Davenport,Baldwyn High School,"Baldwyn, MS",ATH,78
Tae Keith,Talladega High School,"Talladega, AL",WR,78
Brian Davis,Central High School,"Beaumont, TX",DE,78
Kenneth Davis,Tupelo High School,"Tupelo, MS",RB,78
Andre Berry,Tarrant High School,"Tarrant, AL",ATH,78
Tommy Reamon Jr.,Gloucester High School,"Gloucester, VA",QB,78
D.J. Thomas,Patrick Henry High School,"Ashland, VA",CB(POST),78
Domonick Britt,Trotwood-Madison High School,"Trotwood, OH",QB,78
Jordan Gary,Greenwood High School,"Greenwood, SC",DE,77
A.J. Pickens,Don Antonio Lugo High School,"Chino Hills, CA",WR,77
Toa Tuitea,Westminster High School,"Westminster, CA",DE,77
Darvin Adams,Harrison High School,"Kennesaw, GA",WR,77
D'Antoine Hood,Central High School,"Phenix City, AL",CB,77
Romie Blaylock,Cedar Hill High School,"Cedar Hill, TX",WR,77
Robert Griffin,Copperas Cove High School,"Copperas Cove, TX",QB,77
Tracy Robertson,Lamar Consolidated High School,"Houston, TX",DE,77
Justin Tuggle,Northview High School,"Duluth, GA",QB,77
O'Neill Chambers,Harmony High School,"Harmony, FL",WR,77
Jaron Brown,Cheraw High School,"Cheraw, SC",WR,77
Matt Skinner,The Bolles School,"Jacksonville, FL",OT,77
Connor Kempe,The Benjamin School,"Palm Beach Gardens, FL",QB,77
Jay Hollingsworth,Lee County High School,"Lee County, NC",RB,77
Paul Asack,Xaverian Brothers High School,"Westford, MA",K,77
Dalton Faulds,Nease High School,"Ponte Vedra Beach, FL",OG,77
James Jones,Lake Gibson High School,"Lakeland, FL",DE,77
Derrick Clark,Apopka High School,"Apopka, FL",CB,77
Nick Moody,Roman Catholic High School,"Philadelphia, PA",OLB,77
Anthony Hill,Pensacola High School,"Pensacola, FL",DT,77
Andrew Datko,Saint Thomas Aquinas High School,"Fort Lauderdale, FL",OT,77
Avis Commack,First Coast High School,"Jacksonville, FL",WR,77
Marcus Wright,Reagan High School,"San Antonio, TX",RB,77
Jon Lockhart,Blountstown High School,"Blountstown, FL",CB,77
Steven Sylvester,Union Grove High School,"McDonough, GA",OLB,77
T.J. Barnes,Enterprise High School,"Enterprise, AL",OT,77
Cooper Taylor,Marist School,"Atlanta, GA",S,77
Jayme Comer,Brownsburg High School,"Brownsburg, IN",ILB,77
Kyle Kozak,Hargrave Military Academy,"Pickerington, OH",DE(POST),77
Jake McDonough,Valley High School,"West Des Moines, IA",DE,77
Lonzie Range,Creekview High School,"Carrollton, TX",WR,77
Jeremiah Schwartz,Edgewater High School,"Orlando, FL",FB,77
Blake Slaughter,Lawrence E. Elkins High School,"Missouri City, TX",ILB,77
Leon Green,Gateway High School,"West Mifflin, PA",ATH,77
Kyle Prater,Tivy High School,"Kerrville, TX",ILB,77
Cordian Hagans,Northview High School,"Duluth, GA",DT,77
Michael Lacy,Gulfport High School,"Gulfport, MS",OT,77
Eric Harper,John Ehret High School,"Marrero, LA",DE,77
Chandler Spence,Lamar Consolidated High School,"Arlington, TX",DE,77
Jo Jo Cox,Fork Union Military Academy,"Fork Union, VA",RB(LQ),77
Tylor Chambers,Red Bank High School,"Chattanooga, TN",OG,77
Caulton Ray,Brother Rice High School,"Bloomfield Hills, MI",RB,77
Johnny Adams,Akron Buchtel High School,"Akron, OH",ATH,77
Kendall Dangerfield,Giles County High School,"Pulaski, TN",DT,77
Montario Patterson,Biggersville High School,"Corinth, MS",RB,77
Arceto Clark,Shannon High School,"Shannon, MS",CB,77
Devin Jones,DeSoto Central High School,"Southaven, MS",DE,77
Terrance Davis,Salem High School,"Conyers, GA",ATH,77
Josh Jackson,Canton Academy,"Canton, MS",DT,77
Dwayne Maddox,Crest High School,"Shelby, NC",ILB,77
Andrew Wallace,Olympic High School,"Charlotte, NC",OT,77
Roy Mangram,Glynn Academy,"Brunswick, GA",S,77
Martin Bayless Jr.,Hightower High School,"Fresno, TX",WR,77
Alfred DuPree,Skyline High School,"Dallas, TX",OLB,77
Jeremy Gray,Sherman High School,"Sherman, TX",DE,77
Kevin Walker,Arcadia High School,"Arcadia, CA",WR,77
Pete Massaro,Marple Newtown High School,"Newtown, PA",DE,77
Tommie Thomas,H. L. Richards High School,"Oak Lawn, IL",S,77
Roddy Maginot,Bowie High School,"Arlington, TX",WR,77
Eric LeGrand,Colonia High School,"Colonia, NJ",ILB,77
Rashad White,Teaneck High School,"Teaneck, NJ",RB,77
Harold Bernard,Chandler High School,"Chandler, AZ",ATH,77
Trey Fairchild,Dublin Coffman High School,"Dublin, OH",WR,77
Ahkeem Smith,Liberty High School,"Bethlehem, PA",RB,77
James Nixon,Bridgton Academy,"New Haven, CT",ATH(POST),77
Leroy Chevalier,Jack Yates High School,"Houston, TX",OT,77
Joe Villavisencio,Jacksonville High School,"Jacksonville, TX",OG,77
Kyle Mangan,Brenham High School,"Brenham, TX",ILB,77
Keith Wells,Gainesville High School,"Gainesville, GA",DE,77
Ben Buchanan,Westerville Central High School,"Westerville, OH",K,77
David Lucas,Spruce Creek High School,"Port Orange, FL",WR,77
Demetrius Richardson,Cherokee High School,"Marlton, NJ",ATH,77
Marcell Dareus,Huffman High School,"Birmingham, AL",DT,77
Brad Smelley,American Christian Academy,"Tuscaloosa, AL",TE,77
Jermaine Preyear,Davidson High School,"Mobile, AL",FB,77
Robert Lester,Foley High School,"Foley, AL",S,77
Glenn Harbin,McGill-Toolen Catholic High School,"Mobile, AL",DE,77
Matt Hall,Dardanelle High School,"Dardanelle, AR",OT,77
Jelani Smith,Abbeville High School,"Abbeville, LA",ILB,77
Dennis Johnson,Arkansas City High School,"Texarkana, AR",RB,77
Gionni Harris,Fayetteville High School,"Fayetteville, AR",ATH,77
Beau Sweeney,Clovis West High School,"Clovis, CA",QB,77
Anthony Miller,Archbishop Mitty High School,"San Jose, CA",DE,77
Nelson Rosario,El Camino High School,"Oceanside, CA",WR,77
Jerry Johnson,Venice High School,"Venice, CA",WR,77
Derrick Coleman,Troy High School,"Fullerton, CA",FB,77
David Williams,Cardinal Gibbons High School,"Fort Lauderdale, FL",OLB,77
Dominique Battle,American Heritage-Boca-Delray High,"Delray Beach, FL",CB,77
D.J. Woods,Strongsville High School,"Strongsville, OH",WR,77
Ray Polk,Brophy Prep School,"Phoenix, AZ",RB,77
Nihja White,Conestoga High School,"Berwyn, PA",WR,77
Cornelius Washington,Burke County High School,"Waynesboro, GA",DE,77
Brandon Boykin,Fayette County High School,"Fayetteville, GA",CB,77
Bryce Ros,Kennesaw Mountain High School,"Kennesaw, GA",TE,77
Tuiatua Tuiasosopo,Saint Louis School,"Honolulu, HI",OG,77
Isiah Sweeney,Hightower High School,"Missouri City, TX",WR,77
Anthony Lewis,Aldine High School,"Aldine, TX",OLB,77
Ladarrius Gunn,Paris High School,"Paris, TX",CB,77
Jason Ford,Althoff Catholic High School,"Belleville, IL",RB,77
Tyler Sands,Boyertown Senior High School,"Boyertown, PA",OT,77
Reggie Ellis,Dunbar High School,"Washington, DC",DT,77
Graham Pocic,Lemont High School,"Lemont, IL",OT,77
Fred Sykes,Chamberlain High School,"Tampa, FL",WR,77
Jacob Charest,Butler High School,"Matthews, NC",QB,77
Shaun Prater,Omaha Central High School,"Omaha, NE",CB,77
DeMarco Paine,Hazelwood East High School,"Saint Louis, MO",WR,77
James Ferentz,Iowa City High School,"Iowa City, IA",OC,77
Trevor Marrongelli,Westwood High School,"Round Rock, TX",OG,77
Tanner Hawkinson,McPherson High School,"McPherson, KS",TE,77
Deaunte Mason,Pearl-Cohn High School,"Nashville, TN",QB,77
Cartier Rice,James Byrnes High School,"Duncan, SC",CB,77
Damion Dixon,Port Allen High School,"Port Allen, LA",WR,77
Ricky Holloway,Fayette-Ware High School,"Somerville, TN",ILB,77
Zach Kane,Toms River North High School,"Toms River, NJ",ILB,77
Kendal Thompkins,Miami Northwestern High School,"Miami, FL",WR,77
Elliott Mealer,Wauseon High School,"Wauseon, OH",OT,77
Mike Cox,Avon Old Farms School For Boys,"Avon, CT",RB,77
Roszell Gayden,Robbinsdale Cooper High School,"New Hope, MN",OT,77
Gary Tinsley,First Coast High School,"Jacksonville, FL",OLB,77
Spencer Reeves,Skyline High School,"Dallas, TX",OLB,77
Deleon Eskridge,Serra High School,"San Mateo, CA",RB,77
Tim Dandridge,Highland Park Community High School,"Detroit, MI",CB,77
Lekenwic Haynes,Terry High School,"Rosenberg, TX",OLB,77
Jerrell Jackson,Jefferson Davis High School,"Houston, TX",WR,77
Robert Steeples,De Smet Jesuit High School,"Saint Louis, MO",CB,77
Alfonzo Dennard,Wilcox County High School,"Rochelle, GA",CB,77
Quentin Toailoa,Redlands East Valley High School,"Redlands, CA",DT,77
Ben Cotton,Ames High School,"Ames, IA",TE,77
Michael Ball,Desert Pines High School,"Las Vegas, NV",RB,77
Phillip Payne,Western High School,"Las Vegas, NV",WR,77
Casey Walker,Garland High School,"Garland, TX",DT,77
Blake Cantu,Carroll High School,"Southlake, TX",WR,77
DeWitt Stuckey,Lincoln High School,"Stockton, CA",ILB,77
Nick Cody,Hockinson High School,"Brush Prairie, WA",OT,77
Jay Spearman,Greenwood High School,"Greenwood, SC",ATH,77
Eric Baker,Fork Union Military Academy,"Jacksonville, FL",RB(POST),77
Kenny Miles,Brookwood High School,"Snellville, GA",RB,77
Darrell Simmons,Benjamin E. Banneker High School,"College Park, GA",S,77
Cory Grissom,Troup County Comprehensive High Sch,"LaGrange, GA",DT,77
Jatavious Jackson,Glades Central High School,"Belle Glade, FL",OG(LQ),77
Quavon Taylor,Miami Northwestern High School,"Miami, FL",OLB,77
George Baker,Archbishop Carroll High School,"Miami, FL",ATH,77
Daniel Bryant,Lawton-Chiles High School,"Tallahassee, FL",WR,77
Armond Armstead,Pleasant Grove High School,"Elk Grove, CA",DT,77
Aljoshua Tillman,Franklin High School,"Meadville, MS",DE,77
Marcal Robinson,Vigor High School,"Prichard, AL",CB,77
Bo Tillman,Franklin High School,"Meadville, MS",DT,77
Joel Ross,Vandebilt Catholic School,"Houma, LA",DT,77
Marlon Walls,Olive Branch High School,"Olive Branch, MS",OLB,77
Preston Bailey,Montgomery Bell Academy,"Antion, TN",OG,77
Luke Poehlmann,Brenham High School,"Brenham, TX",OT,77
DeAundre Brown,Juan Seguin High School,"Arlington, TX",WR,77
Sam Brenner,Oceanside High School,"Oceanside, CA",OC,77
Everette Thompson,John F. Kennedy High School,"Burien, WA",DE,77
Dominique Blackman,Carson High School,"Carson, CA",QB,77
Luther Leonard,Evergreen High School,"Burien, WA",QB,77
Senio Kelemete,Evergreen High School,"Seattle, WA",DT,77
Jordan Polk,Lincoln High School,"Portland, OR",WR,77
Jake Current,Troy High School,"Troy, OH",OG,77
Adam Barry,Moorpark High School,"Moorpark, CA",QB,77
Jeron Gouveia,Stone Bridge High School,"Ashburn, VA",S,77
Leon Mackey,Hargrave Military Academy,"Newark, DE",DT,77
Jarrett Boykin,Butler High School,"Matthews, NC",WR,77
Antoine Hopkins,Highland Springs High School,"Highland Springs, VA",DE,77
Scott Betros,The Bolles School,"Jacksonville, FL",ILB,77
Terence Davis,Brookwood High School,"Snellville, GA",ATH,77
Ramon Booi,Nease High School,"Ponte Vedra Beach, FL",DT,77
Terrence Kerns,Hargrave Military Academy,"Frederick, MD",RB,77
Kawaun Jakes,Saint Augustine High School,"Saint Augustine, FL",WR,77
Jake Stoller,University School,"Shaker Heights, OH",DE,77
Harold Coates,Ursuline High School,"Youngstown, OH",OG,77
Allante Battle,Desert Vista High School,"Phoenix, AZ",CB,77
Ed Tinker,Brashear High School,"Pittsburgh, PA",WR,77
Mark Tolzien,William Fremd High School,"Rolling Meadows, IL",QB,77
Joe Semple,Mundelein High School,"Mundelein, IL",OC,77
Jamar Branch,Goldsboro High School,"Goldsboro, NC",WR,77
Chris Henderson,Bishop McDevitt High School,"Harrisburg, PA",DT,77
John Hickey,South High School,"Denver, CO",S,77
Chaz Washington,Richland Northeast High School,"Columbia, SC",ILB,77
Rodney Young,DeSoto High School,"DeSoto, TX",ILB,77
Dion Foster,Lewisville High School,"Richburg, SC",DE,77
Jordan Yarbrough,White Station High School,"Memphis, TN",OLB,77
Steve Dunn,Churchville Chili High School,"Churchville, NY",DT,77
Courtney Campbell,Fairfax High School,"Los Angeles, CA",OG,77
Michael Johnson,Lackey High School,"Indian Head, MD",RB,77
Darius Banks,Culver City High School,"Culver City, CA",QB,77
Reuben Johnson,Winslow Township High School,"Atco, NJ",ATH,77
Myles Walker,Antonian College Prep,"San Antonio, TX",DE,77
Elliot McGaskin,Ben C. Rain High School,"Mobile, AL",S,77
Antonio Harper,Melrose High School,"Memphis, TN",DE,77
Tarus McKinley,,"Belle Glade, FL",WR(POST),77
Michael Abernathy,Russellville High School,"Russellville, AL",FB,77
Dawan Whitner,Glenville High School,"Cleveland, OH",DT,77
Chris Smith,Chichester High School,"Boothwyn, PA",ATH,77
Steven Figueroa,Desert Vista High School,"Phoenix, AZ",TE,76
Clint Floyd,Crenshaw High School,"Los Angeles, CA",CB,76
Andre Smith,Shoemaker High School,"Killeen, TX",ATH,76
Derrick Lykes,Chilton County High School,"Clanton, AL",DE,76
Spencer Pybus,Northview High School,"Dothan, AL",OLB,76
Jermaine Johnson,Hargrave Military Academy,"Fort Lauderdale, FL",OT(POST),76
T'Sharvan Bell,Kissimmee-Osceola High School,"Kissimmee, FL",S,76
Lanear Sampson,North Mesquite High School,"Mesquite, TX",WR,76
Donnie Fletcher,Glenville High School,"Cleveland, OH",CB,76
Chris Hayden-Martin,Greensburg Central Catholic H. S.,"Greensburg, PA",CB,76
Bryan Murray,Good Counsel High School,"Wheaton, MD",DT,76
Clyde Lee,Hightower High School,"Fort Bend, TX",WR,76
Mike Goodman,Christopher Columbus High School,"Miami, FL",OT,76
Nick Clancy,Joliet Catholic Academy,"Joliet, IL",OLB,76
Stanley Hunter,James Byrnes High School,"Duncan, SC",OLB(LQ),76
Rashard Hall,Saint Augustine High School,"Saint Augustine, FL",S,76
Matt Sanders,Crestview High School,"Crestview, FL",OG,76
Nolan Kearney,Downingtown West High School,"Downingtown, PA",QB,76
Sean Renfree,Notre Dame Prepatory,"Scottsdale, AZ",QB,76
Josh Jordan,Saint Amant High School,"Saint Amant, LA",QB,76
A.J. Grant,Sandalwood High School,"Jacksonville, FL",OLB,76
Darriet Perry,Lowndes High School,"Valdosta, GA",RB,76
Toshmon Stevens,Crescent City High School,"Crescent City, FL",DE,76
Ed Imeokparia,Blair Academy,"Newark, DE",RB(POST),76
Travis Arnold,Madison County High,"Madison, FL",S,76
Garrett Faircloth,The Bolles School,"Jacksonville, FL",OT,76
B.J. Machen,Hilliard High School,"Hilliard, OH",OLB,76
Embry Peeples,Dr. Phillips High School,"Orlando, FL",RB,76
Kamaron Riley,Hawkinsville High School,"Hawkinsville, GA",S,76
Brandon Leslie,Edison High School,"Fresno, CA",S,76
Justin Pagan,Saint Patrick High School,"Chicago, IL",OG,76
Peter St. Fort,Golden Gate High School,"Naples, FL",S,76
Leonard Johnson,Largo High School,"Largo, FL",ATH,76
Ter'Ran Benton,Summit High School,"Mansfield, TX",CB,76
Jerome Tiller,Robert E. Lee High School,"San Antonio, TX",QB,76
Kwamaine Brown,Osceola High School,"Seminole, FL",RB,76
Javonta Boyd,Northeast High School,"Saint Petersburg, FL",DT,76
Derrick Bryant,Peachtree Ridge High School,"Suwanee, GA",CB,76
Clay Spencer,Parkview Baptist High School,"Baton Rouge, LA",OC,76
Kellen Theriot,Episcopal High School,"Bellaire, TX",ILB,76
Glenn Winston,Denby Technical & Prep High School,"Detroit, MI",ATH,76
Brynden Trawick,Sprayberry High School,"Marietta, GA",S,76
Brent Burnette,Maryville High School,"Maryville, TN",QB,76
Kendric Cook,Etowah High School,"Etowah, AL",TE,76
Alex Williams,Saint Pauls School,"Covington, LA",QB,76
Jeff Radek,Neuqua Valley High School,"Naperville, IL",OT,76
Victor Johnson,Waco High School,"Waco, TX",S,76
Kevin Green,James S. Rickards High School,"Tallahassee, FL",CB,76
Ken Plue,Milford Academy,"Rensselaer, NY",OT(POST),76
Shane Turner,Cypress Falls High School,"Houston, TX",RB,76
Marvin Booker,Piscataway High School,"Piscataway, NJ",OLB,76
Jimmy Miller,J. K. Mullen High School,"Denver, CO",OG,76
Victor Jones,Richland Center High School,"Richland, TX",OLB,76
Eddie Brown,Waller High School,"Waller, TX",DT,76
Aaron Buckley,Palacios High School,"Palacios, TX",ILB,76
Yogi Gallegos,Irving High School,"Irving, TX",QB,76
Zach Domicone,Beavercreek High School,"Xenia, OH",S,76
Cory Myers,Cactus High School,"Glendale, AZ",WR,76
Katrell Watters,Thomasville High School,"Thomasville, AL",OLB,76
Khiry Battle,Dacula High School,"Dacula, GA",ATH,76
Marc Anthony,Chandler High School,"Chandler, AZ",CB,76
Trevor Guyton,Redmond High School,"Redmond, WA",DT,76
Patrick Larimore,William S. Hart High School,"Newhall, CA",ILB,76
Johnathan Franklin,Dorsey High School,"Los Angeles, CA",RB,76
Donovan Carter,Birmingham High School,"Lake Balboa, CA",ILB,76
Brendan Kelly,Shoreham-Wading River High School,"Shoreham, NY",FB,76
Chris Martin,Choctawhatchee High School,"Fort Walton Beach, FL",DT,76
Lynell Payne,Cherokee High School,"Marlton, NJ",WR,76
Doug Rippy,Linden McKinley High School,"Columbus, OH",OLB,76
Curtis Cunningham,Columbine Senior High School,"Littleton, CO",DT,76
T.J. Pridemore,Buford High School,"Buford, GA",ILB,76
Justin Staples,Saint Edward High School,"Lakewood, OH",OLB,76
Glenn Foster,Mount Carmel High School,"Chicago, IL",DE,76
Jeffery Allen,King Collage Prep. High School,"Chicago, IL",OG,76
James Vandenberg,Keokuk High School,"Keokuk, IA",QB,76
Jeff Brinson,Northeast High School,"Saint Petersburg, FL",RB,76
Kale Pick,Dodge City High School,"Dodge City, KS",QB,76
Randy Salmon,Stockbridge High School,"Stockbridge, GA",DT,76
Tyler Bass,Stockbridge High School,"Stockbridge, GA",ATH,76
Gary Douglas Jr.,Hillside High School,"Durham, NC",RB,76
Roy Roundtree,Trotwood-Madison High School,"Trotwood, OH",WR,76
Xzavian Brandon,Northview High School,"Atlanta, GA",WR,76
Devin Thomas,James Madison High School,"San Antonio, TX",RB,76
Enrique Davis,Hargrave Military Academy,"Lynn Haven, FL",RB(POST),76
Dan Hoch,Harlan Community High School,"Harlan, IA",OT,76
Steven Osborne,South Garland High School,"Garland, TX",WR,76
Robert Blanton,Butler High School,"Charlotte, NC",S,76
Justin Virbitsky,Lakeland High School,"Jermyn, PA",TE,76
Mike Shanahan,Norwin Senior High School,"North Huntingdon, PA",ATH,76
T.J. Johnson,Aynor High School,"Aynor, SC",OG,76
Antonio Allen,Fork Union Military Academy,"Ocala, FL",S(POST),76
Kenny Davis,Newberry High School,"Newberry, SC",DT,76
Austin Quattrochi,Walton High School,"Marietta, GA",OC,76
Prentiss Waggner,Clinton High School,"Clinton, LA",CB,76
Ben Bartholomew,Montgomery Bell Academy,"Nashville, TN",FB,76
Austin Johnson,Hickory High School,"Hickory, NC",ILB,76
Jermaine Robinson,Brashear High School,"Pittsburgh, PA",S,76
Derek Tuimauga,Bingham High School,"South Jordan, UT",OG,76
Rodney McLeod,DeMatha Catholic High School,"Hyattsville, MD",WR,76
Alameda Ta'amu,Rainier Beach High School,"Seattle, WA",OG,76
Justin Glenn,Kamiak High School,"Mukilteo, WA",CB,76
Cody Bruns,Prosser High School,"Prosser, WA",WR,76
Bradley Nortman,Brookfield Central High School,"Brookfield, WI",K,76
Marcus Cromartie,Timberview High School,"Mansfield, TX",CB,76
Dyrell Roberts,Smithfield High School,"Smithfield, VA",ATH,76
Lovell Jackson,Plant Senior High School,"Tampa, FL",RB,76
Ted Stachitas,Nease High School,"Ponte Vedra Beach, FL",QB,76
Gabe Irby,Habersham Central High School,"Mount Airy, GA",OG,76
Benji Kemoeatu,Kahuku High School,"Kahuku, HI",OC,76
Kevin Galeher,Saint Rita High School,"Chicago, IL",OT,76
Sam Hammond,Union High School,"Union, SC",OG,76
Aaron King,Carmel High School,"Carmel, IN",RB,76
Brady Amack,De La Salle High School,"Concord, CA",ILB,76
A.J. Jones,McKinney High School,"McKinney, TX",RB,76
Davin Palmer,Chelsea High School,"Chelsea, AL",RB,76
Quintus Johnson,Homewood-Flossmoor High School,"Crete, IL",RB,76
Evan Epstein,Bishop Lynch High School,"Dallas, TX",OC,76
Ryan Epperson,Brownsboro High School,"Brownsboro, TX",OLB,76
Gerald Hill,Curtis Senior High School,"Tacoma, WA",ATH,76
Zach Thomason,Paulding County High School,"Dallas, GA",QB,76
Jessie Johnson,Monroe High School,"Monroe, MI",RB,76
Chris Martin,Helen Cox High School,"Harvey, LA",WR,76
Tyler Miller,Buckeye Union High School,"Buckeye, AZ",ILB,76
Depauldrick Garrett,West Orange-Stark High School,"Orange, TX",RB,76
Jamere Knox,,"Salisbury, MD",RB(POST),76
Shane Usner,Central Crossing High School,"Grove City, OH",DE,76
Mike Washington,Foley High School,"Foley, AL",WR,76
Raveon Samuel,Canyon Springs High School,"Las Vegas, NV",WR,76
Terrell Colston,Kathleen High School,"Lakeland, FL",RB,76
Tim McGill,East Coweta High School,"Sharpsburg, GA",FB,76
Brian Williams,Carteret High School,"Carteret, NJ",WR,76
Stephen Payne,Allen High School,"Allen, TX",ATH,76
Juan McHenry,Carter High School,"Dallas, TX",RB,76
